,Artist,Lyrics,Song
45,Lil Durk & DeJ Loaf,"[""Ooh I like the way she move\nShawty my baby, my everything, she the truth\nTogether we cool, me and her can't lose\nKeep 'em on their feet, baby I know they so confused\nShawty my Beyoncé"", 'Durk and DeJ, Durk and DeJ, Durk and DeJ\nShawty my Beyoncé\nDurk and DeJ, Durk and DeJ, Durk and DeJ\nMy Beyoncé', ""Trippin' on that drank, but I know she worth it\nIndependent baby, I know she workin'"", ""Adriana's serving drinks, 20 bottles, urgent\nI know it can be better but nobody's perfect"", ""We flirted for a minute, DeJ, that's my baby\nI ain't trippin', I'm like Henny, yeah I'm in her kidneys"", 'She like to play her songs to the way I\'m hittin\' it\nTurn around like, ""Damn Durk I like the way you hittin\' it""', ""Don't believe the rumors, girl\nYou know I'll do you, girl\nI don't wanna hear the shit about the niggas\nThat tried to do you, girl\nFuck the past right now\nShawty got you right now\nAnd you hot right now\nYou can get it right now, baby"", ""Ooh I like the way she move\nShawty my baby, my everything, she the truth\nTogether we cool, me and her can't lose\nKeep 'em on their feet, baby I know they so confused\nShawty my Beyoncé"", 'Durk and DeJ, Durk and DeJ, Durk and DeJ\nShawty my Beyoncé\nDurk and DeJ, Durk and DeJ, Durk and DeJ\nMy Beyoncé', '[Verse 2: DeJ Loaf]', ""I let him get it when he want it, knock it down and push up on it\nI was plottin' for a while, now I got him where I want him"", ""They didn't understand none of this was planned\n99 problems but a bitch better not be none"", ""Na na, na na, yeah yeah\nThis ain't what he want, I told him that\nLeave your girl, be through with that\nGet with DeJ, he ain't ever goin' back\nHe was shy when I seen him, now he smile"", ""Heard a few rumors but they ain't my style"", ""I be hatin' when he out of town\nHotel, I FaceTime you, no towel"", ""They ain't get it but they ain't our problem\nWhat the fuck can they do about it?\nDurk and DeJ\nI'm thinkin' 'bout changin' my last name"", ""Ooh I like the way she move\nShawty my baby, my everything, she the truth\nTogether we cool, me and her can't lose\nKeep 'em on their feet, baby I know they so confused\nShawty my Beyoncé"", 'Durk and DeJ, Durk and DeJ, Durk and DeJ\nShawty my Beyoncé\nDurk and DeJ, Durk and DeJ, Durk and DeJ\nMy Beyoncé', ""You and I\nWhite dress, flowers, and a suit and tie\nMe and you like Bonnie and Clyde\nNo beat the case, we're do or die"", ""Who am I to say you ain't natural?\nYour haters my haters, ain't switchin' up, baby, I got you\nI'm with her like a tattoo\nThe way you wear that dress, they gon' attack you"", 'The way you look at me, baby I got you\nI hit it from the front, I like the back too\nShe say, ""Lay down so I can ride you""\nI know that she feinding\nShe scratchin\' my back, I like how she screamin\'\nI fuck her and leave her, she feinding', 'Shawty my Beyoncé', ""Ooh I like the way she move\nShawty my baby, my everything, she the truth\nTogether we cool, me and her can't lose\nKeep 'em on their feet, baby I know they so confused\nShawty my Beyoncé"", 'Durk and DeJ, Durk and DeJ, Durk and DeJ\nShawty my Beyoncé\nDurk and DeJ, Durk and DeJ, Durk and DeJ\nMy Beyoncé', 'Durk and DeJ, Durk and DeJ, Durk and DeJ\nUuuuuuu, Uuuuuuu']",My Beyonce
46,"Colonel Loud Featuring T.I., Young Dolph & Ricco Barrino","['Thanking God for the weed, women, and the sunshine', 'Dumb hot', 'Out on Sunset', 'Blowing kush\nFrom the one time\nYou get a contact', ""Catch ya ass at the red light\nWanna run at 'em sideways in a Hellcat\nOn some run flat"", 'Hear the waves crashing, playing spades in the living room (Cracking)\nSound like a Doggystyle interlude', 'Kurupt Gotti, nigga where the gas at?', 'From Bankhead to a Hollywood address\nSame nigga tho\nOne on one get your ass kicked', 'And I be smoking on the best loud in California', ""Palm trees in the air, the top pushed back\nBlowing smoke out the roof cookies to be exact\nI'm always in Cali cause this is where it's at\nBitches, bud, good weather, what you know bout that"", 'Breaking down backwoods, rolling gasoline up', 'Like to sip the lime-a-ritas and the sisco', 'I hopped my ass on the 101 and headed north']",California
47,iLoveMemphis,"[""(I said I'll show you how I)\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab"", ""(I said I'll show you how I)\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab"", 'Wake up in the morning then I dab', 'Had to pull up on the block cause today I get to whip', 'And you know my top drop and my car’s name is nae-nae', 'Had to hit the Quan cause today is a good day', ""(I said I'll show you how I)\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab"", ""(I said I'll show you how I)\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab"", 'Nice shoes, car clean cause it’s sunny outside\nThat mean I pull up with my top down', 'Always used to dodge cops, riding around with no plate tags\nBut they can never catch me, driving like a taxi', 'It’s iHeart Memphis but I also love dabbing\nI done took off on em, I feel like a pilot\nI done took off on em, I don’t care bout the mileage', 'Lean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab', ""(I said I'll show you how I)\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab\nLean and dab, lean and dab"", 'You can google me, you can google me\nYou can google me, you can google me']",Lean & Dabb
48,J. Cole,"['[Produced by Vinylz]', '[Verse 1]', ""Since a youngin' always dreamed of gettin' rich\nLook at me my nigga\nFantasize about a white picket fence\nWith some trees my nigga"", ""Used to want a Pathfinder with some tints\nThat's all I need my nigga\nThrow some 20's on that bitch and get it rinsed\nBut now I see my nigga\nThat the world's a lot bigger ever since"", ""Picked up the paper\nAnd they say my nigga Eddie caught a body, I'm convinced\nAnybody is a killer, all you gotta do is push 'em to the limits"", ""Fuck being timid in the Civic\nPoliticin' with the pushers and the pimps\nI'm tryna write a story, can I get a glimpse?\nYeah, can I get a glimpse?"", '[Hook 1]', 'Last night I had a bad dream\nThat I was trapped in this city\nThen I asked is that really such a bad thing?', ""They robbin' niggas on the daily\nCan you blame a nigga that ain't never had things?\nGuess not! (What's the value of a thing?)\nLast night they pulled up on my nigga at the light like—\nUgh, nice watch, run it\nHands in the air now, hands in the air, run it\nHands in the air now, hands in the air, run it\nHands in the air now, hands in the air\nHands in the air now, hands in the air"", ""Small town nigga Hollywood dreams\nI know that everything that glitters ain't gold\nI know the shit ain't always good as it seems\nBut tell me till you get it how could you know?\nHow could you know? How could you know?"", '[Verse 2]', ""Listen up I'm about to go and get rich\nFuck with me my nigga\nWe gon' circle round the Ville and hit a lick"", ""Cop some tree my nigga\nAnd some powder, bag it up and make it flip\nYou gon' see my nigga\nOne day we gon' graduate and cop a brick\nAnd that's the key my nigga\nListen up I'm 'bout to go and get rich\nStand back and watch if you want to nigga\nMe I want my pockets fat, a badder bitch\nTired of seein' niggas flaunt, I wanna flaunt too nigga"", ""Watch some rollers in a fuckin' Crown Vic\nTryna lock a nigga up, that's what they won't do nigga"", ""Wanna know a funny thing about this shit?\nEven if you let em' kill your dream\nIt'll haunt you nigga, haunt you"", ""[Hook 2]\nLast night I had a bad dream\nThat I was trapped in this city\nThen I asked is that really such a bad thing?\nI look around like—\nDo you wanna be another nigga, that ain't never had things?\nGuess not! (What's the value of a thing?)\nLast night we pulled up on a nigga at the light like\n(You know what the fuck it is nigga, run that shit!)\nUh, nice watch, run it\nHands in the air now, hands in the air, run it\nHands in the air now, hands in the air, run it\nHands in the air now, hands in the air\nHands in the air now, hands in the air"", ""Father forgive me for my childish ways\nI look outside and all the clouds are gray\nI need your hands to take me miles away\nYour wish is my command, my command, my command\nBut before you go I've got to warn you now\nWhatever goes up surely must come down\nAnd you'll get your piece, but know peace won't be found\nSo why just take me man, take me man, take me man\nYour wish is my command, my command, my command""]",A Tale Of 2 Citiez
49,Future,"[""Took a shot of Henny, I've been going brazy, brazy"", 'They say my whole hood got it under investigation\nThey know they talk that stick talk, that stick talk\nThey know we talk that lick talk, that lick talk', '10 million dollars cash, fuck a friend', ""Started sipping syrup, I've been geeked ever since"", 'Gotta keep that heat on the seat ever since', 'You know we talk that stick talk, that stick talk', ""I'm 'bout to fuck this cash up on a new toy\n'Bout to fuck this cash up on a new toy"", ""You can't understand us ‘cause you're too soft"", ""Taliban bands, run 'em straight through the machinery"", 'They came through with a stick and you heard it\nThey came through in this bitch and they were swerving', ""I can't believe the blood ain't on my shirt\nBecause he got hit close-range"", ""We be talking stick talk, we be talking bricks too\nWe be talking lick talk, and I'ma fuck your bitch too"", ""I ain't got no manners for no sluts\nI'ma put my thumb in her butt"", ""Took a shot of Henny, I've been going brazy, brazy"", 'They say my whole hood got it under investigation\nThey know they talk that stick talk, that stick talk\nThey know we talk that lick talk, that lick talk', ""I'm 'bout to fuck this cash up on a new toy\n'Bout to fuck this cash up on a new toy"", ""You can't understand us ‘cause you're too soft"", ""Taliban bands, run 'em straight through the machinery"", ""I'ma tell a lie under oath\nI can see it in your eyes, you're going broke"", 'Oxycontin got her with a body count', '(sak pase)', 'Riding in a car I barely can pronounce\nOrdered up a chauffeur, told him, ""ride me round the whole world""\nI was on the E-way with that molly and that old girl', 'Get a little cheaper, you could win\nHit it little harder, get the Benz', '10 million dollars cash, fuck a friend', ""Started sipping syrup, I've been geeked ever since\nGotta keep that heat on the seat ever since"", 'You know we talk that stick talk, that stick talk', ""I'm 'bout to fuck this cash up on a new toy\n'Bout to fuck this cash up on a new toy"", ""You can't understand us ‘cause you're too soft"", ""Taliban bands, run 'em straight through the machinery"", 'Fully loaded whip tote fully loaded clips', ""Fucking with my niggas, I'll smoke a zip\nRed eyes, and I got them Zoes with me"", ""Taliban bands, run 'em straight through the machinery"", ""Took a shot of Henny, I've been going brazy, brazy"", 'They say my whole hood got it under investigation\nThey know they talk that stick talk, that stick talk\nThey know we talk that lick talk, that lick talk', '10 million dollars cash, fuck a friend', ""Started sipping syrup, I've been geeked ever since\nGotta keep that heat on the seat ever since\nGotta keep that heat on the seat ever since"", 'You know we talk that stick talk, that stick talk']",Stick Talk
50,Migos Featuring Lil Uzi Vert,"[""You know, young rich niggas\nYou know so we ain't really never had no old money\nWe got a whole lotta new money though, hah"", ""(If Young Metro don't trust you I'm gon' shoot ya)"", ""Raindrop (drip), drop top (drop top)\nSmokin' on cookie in the hotbox (cookie)"", ""Fuckin' on your bitch, she a thot, thot (thot)"", ""Cookin' up dope in the crockpot (pot)"", ""We came from nothin' to somethin', nigga (hey)"", 'Cry me a river, give you a tissue (hey)', 'My bitch is bad and boujee (bad)', ""Cookin' up dope with a Uzi (blaow)\nMy niggas is savage, ruthless (savage)\nWe got 30's and 100 rounds too (grrah)"", 'My bitch is bad and boujee (bad)', ""Cookin' up dope with a Uzi (dope)"", ""My niggas is savage, ruthless (hey)\nWe got 30's and 100 rounds too (glah)"", 'Offset, whoo, whoo, whoo, whoo, whoo!', 'Rackaids on rackaids, got back-ends on back-ends', ""I'm ridin' around in a coupe (coupe)"", 'I take your bih right from you (you)', ""Bitch, I'm a dog, roof (grr)\nBeat the ho walls loose (hey)"", 'Hop in the frog, whoo (skrt)', 'Bankrolls on me keep me company (cash)', 'Yeah, pull up in Ghosts (whoo)', 'Yeah, my diamonds a choker (glah)', ""Holdin' the fire with no holster (blaow)"", 'Rick the Ruler, diamonds cooler (cooler)', ""This a Rollie, not a Muller (hey)\nDabbin' on 'em like the usual (dab)"", 'Magic with the brick, do voodoo (magic)', ""I'm young and rich and plus I'm bougie (hey)"", ""I'm not stupid so I keep the Uzi (rrah)"", ""Rackaids on rackaids, got back-ends on back-ends\nSo my money makin' my back ache (aagh)"", 'You niggas got a low Act rate (Act)', 'We from the Nawf, yeah, dat way (nawf)', 'Fat Cookie blunt in the ashtray (cookie)', 'Hop in the Lamb, have a drag race (skrt)', 'I let them birds take a bath, bae (brr)', ""Raindrop (drip), drop top (drop top)\nSmokin' on cookie in the hotbox (cookie)"", ""Fuckin' on your bitch, she a thot, thot (thot)"", ""Cookin' up dope in the crockpot (pot)"", ""We came from nothin' to somethin', nigga (hey)"", 'Cry me a river, give you a tissue (hey)', 'My bitch is bad and boujee (bad)', ""Cookin' up dope with a Uzi (blaow)\nMy niggas is savage, ruthless (savage)\nWe got 30's and 100 rounds too (grrah)"", 'My bitch is bad and boujee (bad)', ""Cookin' up dope with a Uzi (dope)\nMy niggas is savage, ruthless (hey)\nWe got 30's and 100 rounds too (glah)"", ""Pour a four, I'm droppin' muddy\nOuter space, Kid Cudi (drank)"", ""Don't move too fast, I might shoot ya (huh?)\nDraco bad and boujee (draco)"", ""I'm always hangin' with shooters (brrah)"", ""Still be playin' with pots and pans, call me Quavo Ratatouille"", ""Run with that sack, call me Boobie (run with it)\nWhen I'm on stage show me boobies (ayy)"", ""Ice on my neck, I'm the coolest (ice)"", 'Hop out the suicide with the Uzi (pew-pew-pew)', ""I pull up, I pull up, I pull up\nI hop out with all of the drugs and the good luck (skrrt)\nI'm cookin', I'm cookin', I'm whippin'\nI'm whippin' into a rock up, let it lock up (lock up)"", ""I gave her 10 racks\nI told her go shoppin' and spend it all at the pop up (ten)"", ""These bitches, they fuck and suck dick\nAnd they bustin' for Instagram, get your clout up"", ""Uh, yeah, dat way, float on the track like a Segway (go)\nYeah, dat way, I used to trap by the Subway (trappin')\nYeah, dat way, young nigga trap with the AK (rrrah)\nYeah, dat way, big dyke ho, get the door, Macy Gray (hey)"", ""Raindrop (drip), drop top (drop top)\nSmokin' on cookie in the hotbox (cookie)"", ""Fuckin' on your bitch, she a thot, thot (thot)"", ""Cookin' up dope in the crockpot (pot)"", ""We came from nothin' to somethin', nigga (hey)"", 'Cry me a river, give you a tissue (hey)', 'My bitch is bad and boujee (bad)', ""Cookin' up dope with a Uzi (blaow)\nMy niggas is savage, ruthless (savage)\nWe got 30's and 100 rounds too (grrah)"", 'My bitch is bad and boujee (bad)', ""Cookin' up dope with a Uzi (dope)\nMy niggas is savage, ruthless (hey)\nWe got 30's and 100 rounds too (glah)"", 'Yeah, yeah, yeah, yeah, yeah', ""Ayy, wait, these niggas watchin'\nI swear to God they be my clones\nYeah, hey, huh"", ""Switchin' my hoes like my flows (what?)"", ""Switchin' my flows like my clothes (like what?)"", ""'Cause the money come all out the roof\nDrive the Rari, that bitch got no roof (skrt)\nWait, what kind of Rari? 458 (damn)"", 'Look, go to strip club, make it rain', ""Go to sleep in a jacuzzi, yeah\nWakin' up right to a two-piece, yeah"", ""Gettin' that chicken with blue cheese, yeah"", ""Boy, you so fake, like my collar you snakin'\nI swear to God that be that Gucci (ayy)"", ""Saw your girl once, now she choosin', yeah"", ""Raindrop (drip), drop top (drop top)\nSmokin' on cookie in the hotbox (cookie)"", ""Fuckin' on your bitch, she a thot, thot (thot)"", ""Cookin' up dope in the crockpot (pot)"", ""We came from nothin' to somethin', nigga (hey)"", 'Cry me a river, give you a tissue (hey)', 'My bitch is bad and boujee (bad)', ""Cookin' up dope with a Uzi (blaow)\nMy niggas is savage, ruthless (savage)\nWe got 30's and 100 rounds too (grrah)"", 'My bitch is bad and boujee (bad)', ""Cookin' up dope with a Uzi (dope)\nMy niggas is savage, ruthless (hey)\nWe got 30's and 100 rounds too (glah)""]",Bad And Boujee
51,Rae Sremmurd Featuring Gucci Mane,"['Black Beatles in the city\nBe back immediately to confiscate the moneys', '(Ear Drummers)\nRae Sremm, Guwop, Mike WiLL!', ""I sent flowers, but you said you didn't receive 'em\nBut you said you didn't need 'em (Mike WiLL!)"", 'That girl is a real crowd pleaser', 'Small world, all her friends know of me', ""Young bull livin' like an old geezer"", 'Quick release the cash, watch it fall slowly', 'Haters mad for whatever reason', 'They lose it when the DJ drops the needle', ""Getting so gone I'm not blinkin'"", ""New day, new money to be made\nThere is nothin' to explain"", ""I'm a fuckin' black Beatle, cream seats in the Regal"", ""Rockin' John Lennon lenses, like to see ‘em spread eagle"", 'Like clockwork, I blow it all\nAnd get some more', 'Get you somebody that can do both', ""Black Beatles got the babes belly rollin'"", ""She think she love me, I think she trollin'"", 'That girl is a real crowd pleaser', 'Small world, all her friends know of me', ""Young bull livin' like an old geezer"", 'Quick release the cash, watch it fall slowly', 'They lose it when the DJ drops the needle', 'Came in with two girls, look like strippers in their real clothes', ""A yellow bitch with green hair, a real weirdo\nBlack man, yellow Lamb', red light go"", 'They seen that Guwop and them just came in through the side door', ""There's so much money on the floor we buyin' school clothes"", 'Pint of lean, pound of weed, and a kilo', ""I Eurostep past a hater like I'm Rondo"", ""Like Chapo servin' yayo to the gringos"", 'That girl is a real crowd pleaser', 'Small world, all her friends know of me', ""Young bull livin' like an old geezer"", 'Quick release the cash, watch it fall slowly', 'They lose it when the DJ drops the needle', ""She's a good teaser, and we blowin' reefer"", 'D&G on me, I got a lot of flavor', ""I wear leather Gucci jackets like it's still the 80s"", 'Black Beatle, bitch, me and Paul McCartney related', 'That girl is a real crowd pleaser', 'Small world, all her friends know of me', ""Young bull livin' like an old geezer"", 'Quick release the cash, watch it fall slowly', 'They lose it when the DJ drops the needle']",Black Beatles
52,Machine Gun Kelly x Camila Cabello,"[""Am I out of my head?\nAm I out of my mind?\nIf you only knew the bad things I like\nDon't think that I can explain it\nWhat can I say, it's complicated\nDon't matter what you say\nDon't matter what you do\nI only wanna do bad things to you\nSo good, that you can't explain it\nWhat can I say, it's complicated"", ""And we're both wild\nAnd the night's young\nAnd you're my drug\nBreathe you in 'til my face numb"", ""Nails scratchin' my back tatt\nEyes closed while you scream out\nAnd you keep me in with those hips\nWhile my teeth sink in those lips\nWhile your body's giving me life\nAnd you suffocate in my kiss"", ""I want you forever\nEven when we're not together\nScars on my body so I can take you wherever\nI want you forever\nEven when we're not together"", 'Scars on my body I can look at you whenever', ""Am I out of my head?\nAm I out of my mind?\nIf you only knew the bad things I like\nDon't think that I can explain it\nWhat can I say, it's complicated\nDon't matter what you say\nDon't matter what you do\nI only wanna do bad things to you\nSo good, that you can't explain it\nWhat can I say, it's complicated"", 'And I love the way your breath\nNumbs me like novacaine\nAnd we are\nAlways high', 'Keep it strange', ""Okay, yeah, I'm insane\nBut you the same"", ""Let me paint the picture\nCouch by the kitchen\nNothin' but your heels on\nLosin' our religion"", ""I want you forever\nEven when we're not together\nScars on my body so I can take you wherever\nI want you forever\nEven when we're not together\nScars on my body I can look at you whenever"", ""Am I out of my head?\nAm I out of my mind?\nIf you only knew the bad things I like\nDon't think that I can explain it\nWhat can I say, it's complicated\nDon't matter what you say\nDon't matter what you do\nI only wanna do bad things to you\nSo good, that you can't explain it\nWhat can I say, it's complicated"", '[Pre-Chorus: Machine Gun Kelly & Camila Cabello]', ""I want you forever\nEven when we're not together\nScars on my body so I can take you wherever\nI want you forever\nEven when we're not together\nScars on my body I can look at you whenever"", ""Am I out of my head?\nAm I out of my mind?\nIf you only knew the bad things I like\nDon't think that I can explain it\nWhat can I say, it's complicated\nDon't matter what you say\nDon't matter what you do\nI only wanna do bad things to you\nSo good, that you can't explain it\nWhat can I say, it's complicated""]",Bad Things
53,Drake,"[""I've been down so long, it look like up to me\nThey look up to me\nI got fake people showin' fake love to me\nStraight up to my face, straight up to my face\nI've been down so long, it look like up to me\nThey look up to me\nI got fake people showin' fake love to me\nStraight up to my face, straight up to my face"", 'Just when shit look out of reach\nI reach back like one, three\nLike one, three, yeah', ""That's when they smile in my face\nWhole time they wanna take my place\nWhole time they wanna take my place\nWhole time they wanna take my place\nYeah, I know they wanna take my place\nI can tell that love is fake\nI don't trust a word you say\nHow you wanna clique up after your mistakes?\nLook you in the face, and it's just not the same"", ""I've been down so long, it look like up to me\nThey look up to me\nI got fake people showin' fake love to me\nStraight up to my face, straight up to my face\nI've been down so long, it look like up to me\nThey look up to me\nI got fake people showin' fake love to me\nStraight up to my face, straight up to my face"", ""That's when they smile in my face\nWhole time they wanna take my place\nWhole time they wanna take my place\nWhole time they wanna take my place\nYeah, I know they wanna take my place\nI can tell that love is fake (I can tell that love is fake)\nI don't trust a word you say (I don't trust a word)\nHow you wanna clique up after your mistakes?\n(That's just what I heard)\nLook you in the face, and it's just not the same"", ""I've been down so long, it look like up to me\nThey look up to me\nI got fake people showin' fake love to me\nStraight up to my face, straight up to my face\nI've been down so long, it look like up to me\nThey look up to me\nI got fake people showin' fake love to me\nStraight up to my face, straight up to my face"", 'And more chune for your headtop\nSo watch how you speak on my name, you know?']",Fake Love
54,Amine,"[""Listen man\nWhat's up?\nI heard you done got you a dime piece, man\nHell naw, man\nOne of them Beyoncé, Meagan Good types, man\nNah, nah, nah\nIs that true, man?\nI just wanna know\nProbably not\nI mean, shit to be honest with you, man, she's a..."", 'Bad thang, fine as hell, thick as fuck', 'Caroline, you divine\nMighty fine', ""Shawty really blow the pipe (that's true)\nLike a pro\nAha, fuck you thought?"", ""Holy shit, I'm really lit\nIt's looking like it's 'bout time to fuck it up\nCaroline, listen up, don't wanna hear\nAbout ya horoscope or what the future holds"", ""Shut up and shut up and\nLet's get gory, like a Tarantino movie\nDon't wanna talk it out, can we fuck it out?\nCause we gon' be up all night, fuck a decaf"", ""You say I'm a tall thug, guess I'm a G-raffe"", 'If ya want safe-sex, baby use the knee pads', 'Freaky with the sticky icky', 'Baby give me kitty kitty', 'Killa, westside nigga', ""Boy you like 98 degrees\nAnd I'm 300, nigga keep ya feet runnin'\nI chief keef keef when I eat these beats"", 'Better boy get scurred', '[Chorus]', 'Cause great scenes might be great\nBut I love your bloopers', ""And perfect's for the urgent\nBaby I want forever"", 'Bad thang, fine as hell, thick as fuck', 'Caroline, you divine\nMighty fine', ""Shawty really blow the pipe (that's true)\nLike a pro\nAha... what?"", ""Caroline, listen up, don't wanna hear\nAbout ya horoscope or what the future holds"", ""Let's get gory, like a Tarantino movie"", ""Don't wanna talk it out, can we fuck it out?\nCause we gon' be up all night, fuck a decaf"", ""You say I'm a tall thug, guess I'm a G-raffe"", 'If ya want safe-sex, baby use the knee pads', 'Freaky with the sticky icky', 'Baby give me kitty kitty', 'Killa, westside nigga', ""Boy you like 98 degrees\nAnd I'm 300, nigga keep ya feet runnin'\nI chief keef keef when I eat these beats"", 'Bet a boy get scurred', '[Chorus]', 'Cause great scenes might be great\nBut I love your bloopers', ""And perfect's for the urgent\nBaby I want forever""]",Caroline
55,Big Sean,"[""[Intro: Future]\nIf Young Metro don't trust you, I'm gon shoot you"", 'Last night took a L, but tonight I bounce back\nWake up every morning, by the night, I count stacks', 'Knew that ass was real when I hit, it bounce back', 'Last night took a L, but tonight I bounce back', 'Boy, I been broke as hell, cashed a check and bounced back', 'D town LAX, every week I bounce back', '[Verse 1: Big Sean]', ""Don’t owe nobody, owe nobody\nAlways on the fuckin' job, I got no hobbies"", ""Got the city fuckin' with me 'cause I'm homegrown"", ""Vibin' out more than my phone though\nLeave me ‘lone, me on my own though"", 'Look, I cut that bitch off like a edit', ""My daddy a G, it's genetics (Straight up)"", ""I heard ya new shit, it's pathetic\nYa contract should be shredded"", 'Took my dogs on a private jet from the public housing', 'I kept it G, yeah, one thousand', 'Clique star-studded like the Paramount mountain', 'Everything I do is righteous\nBetting on me is the right risk\nEven in a fucking crisis\nI’m never on some switching sides shit', ""I switch gears to the night shift\nBlacking out 'cause I’m enlightened"", 'God talk to me in silence\nBut I hear him every time, mane\n(Thank you God, God bless you, thank you so much)', 'Last night took a L, but tonight I bounce back\nWake up every morning, by the night, I count stacks', 'Knew that ass was real when I hit, it bounce back', 'Last night took a L, but tonight I bounce back', 'Boy, I been broke as hell, cashed a check and bounced back', 'D town LAX, every week I bounce back', ""Look, I woke up in beast mode\nWith my girl, that's beauty and the beast though"", 'Been top 5, these niggas sleep though\nOnly thing that sold out is the seats though\n(Never sold my soul, never will never have)', ""Nigga how dare you stand before me and not respect my authority\nIf you fuck with my glory, I'ma drop the L and get gory"", 'I done did everything except worry\nHella drama, my life story', 'Faith of a mustard seed, I kept growing\nI knew that this life was meant for me', ""Niggas change up more than wishin' wells\nKarma come around I'll wish 'em well"", ""Livin' like I’m on a limitless pill\nI kill the scene like I’m Denzel"", ""Crazy like my jacket strapped up\nNigga, I don’t act but I'll act up\nBrown paper bag like the lunch packed up"", ""Back, back, back, back up\nNigga, I'ma need like 10 feet\nOr get stomped out with ten feet\nI'ma always lose my temper\nYou cannot “count to ten” me"", 'If I lose 1, I bounce back like 2, 3 did with 4, 5\nSeen court rooms and court sides, ain’t too many seen both sides', ""Nigga, fuck what you know\nNigga, I’m takin' back control\nThe underdog just turned into the wolf and the hunger steady grows"", 'Yeah, I call shots while you call off', ""Never takin' summer or fall off\nWhen you stay that committed to it, you just fall down and never fall off, so"", 'Last night took a L, but tonight I bounce back\nWake up every morning, by the night, I count stacks', 'Knew that ass was real when I hit, it bounce back', 'Last night took a L, but tonight I bounce back', 'D town LAX, every week I bounce back', 'Don']",Bounce Back
56,Zay Hilfigerrr & Zayion McCall,"[""Do that one dance baby\nThat, that one dance\nYeah, oh\nYou don't know how to do that?\nBaby do it for your grandma\nCome on, I'm old and I'm trying to learn it\nWell yeah, do it"", ""Walked in this party\nAnd these girls lookin' at me\nSkinny jeans on and you know my hair nappy\nHey, hey, hey\nOkay, okay\nI want y'all do it, do this dance now"", 'JuJu on the beat\nJuJu on that beat\nJuJu on that, JuJu on that, JuJu on that beat', 'Now slide, drop', ""Hit dem folks, don't stop, aye\nDon't stop, aye\nDon't stop, aye"", 'Running man on that beat, aye\nRunning man on that beat, aye\nRunning man on that beat, aye\nRunning man on that beat', ""You ugly\nYou your daddy's son"", ""Okay we knuckin' and buckin'\nAnd ready to fight\nI got my cousin, he with me\nAnd got Lil Zay on the right"", ""And I'm a Detroit baby"", 'Besides drinking and having parties\nAnd having some fun', 'I see a 300-S', ""If you compare me and you\nThere wouldn't be no comparings"", 'JuJu on the beat\nJuJu on that beat\nJuJu on that, JuJu on that, JuJu on that beat', ""Hit dem folks, don't stop, aye\nDon't stop, aye\nDon't stop, aye"", 'Running man on that beat, aye\nRunning man on that beat, aye\nRunning man on that beat, aye\nRunning man on that beat', ""You ugly\nYou your daddy's son""]",Juju On That Beat (TZ Anthem)
57,21 Savage & Metro Boomin Featuring Future,"[""Wrist on Milly Rock them diamonds on me dancin'"", 'I got model bitches wanna lick me like some candy\nAnd them drugs come in handy', ""Last name Savage bitch, but no I'm not Randy"", 'Hit her with no condom, had to make her eat a plan B', ""And I'm sippin' on that Codeine, not Brandy"", ""I'm just stuntin' on my ex-bitch\nI'm just flexin' on my ex-bitch\nHold up, I'm just stuntin' on my ex-bitch\nHold up, I'm just flexin' on my ex-bitch"", 'Fuck a wedding ring, I bought a necklace\nDiamonds got the flu, try not to catch this', ""I left that ho alone 'cause she was ratchet"", '[Verse 1: 21 Savage + Future]', ""Her friend gon' lick me like a fruit roll up"", ""She in her feelins' on the 'Gram, grow up"", ""21 gon' get the stick, hold up"", 'Hold up, hold up, without no weave, you bald', 'Hold up, bitch I spent your rent inside the mall\nTold her she got a nigga but he broke, she lost', ""I'm just stuntin' on my ex-bitch\nI'm just flexin' on my ex-bitch\nHold up, I'm just stuntin' on my ex-bitch\nHold up, I'm just flexin' on my ex-bitch"", 'Fuck a wedding ring, I bought a necklace\nDiamonds got the flu, try not to catch this', 'Hold up, bitch my Rolex on fleek\nHold up, bitch my diamonds on fleek', 'Hold up, you got Rainbow on your feet?', ""Hold up, can't no motherfuckin' judge check me"", ""Hold up, I don't give a fuck about no ring"", 'Hold up, bitch you still stay on Section-8', 'Hold up, and she love to let me paint her face', 'Hold up,', 'ripped them confidential papers up', ""I'm just stuntin' on my ex-bitch\nI'm just flexin' on my ex-bitch\nHold up, I'm just stuntin' on my ex-bitch\nHold up, I'm just flexin' on my ex-bitch"", 'Fuck a wedding ring, I bought a necklace\nDiamonds got the flu, try not to catch this', ""Wrist on Milly Rock them diamonds on me dancin'"", ""If Young Metro don't trust you, I'm gon' shoot you"", ""Last name Hendrix bitch, you know I'm no Jimi"", ""And I'm sippin' codeine, tats all on my stomach""]",X
